eventTime,sourceIPAddress,userAgent,eventName,eventSource,awsRegion,userIdentitytype,eventType,errorCode,requestParametersinstanceType,is_error,ip_frequency,event_frequency,region_frequency,anomaly_label,anomaly_score,anomaly_type
2017-05,255.253,Boto3,ListEntitiesForPolicy,iam.amazonaws.com,us-east-1,AssumedRole,AwsApiCall,,NotApplicable,0,31011,3114,53892,1,0.0023861129335542852,Normal
2017-11,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2018-02,112.255,Boto3,AssumeRole,sts.amazonaws.com,us-east-1,IAMUser,AwsApiCall,AccessDenied,NotApplicable,1,1820,32561,53892,-1,-0.006545678772027219,Security Error
2017-05,96.170,aws-cli,GetCallerIdentity,sts.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,20,3927,53892,-1,-0.0039218457334934675,Behavioral Anomaly
2020-03,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2017-02,255.253,[S3Console,GetBucketLifecycle,s3.amazonaws.com,us-west-2,Root,AwsApiCall,NoSuchLifecycleConfiguration,NotApplicable,1,31011,630,89128,1,0.004578927417357825,Normal
2018-04,145.121,aws-sdk-nodejs,RunInstances,ec2.amazonaws.com,us-west-1,IAMUser,AwsApiCall,Client.InstanceLimitExceeded,m5.24xlarge,1,547,17605,4967,1,0.014150777772347634,Normal
2017-05,Unknown,config.amazonaws.com,DescribeInternetGateways,ec2.amazonaws.com,us-west-2,AssumedRole,AwsApiCall,,NotApplicable,0,28065,183,89128,1,0.0550449020038043,Normal
2019-08,223.201,[Boto3,GetBucketLogging,s3.amazonaws.com,us-east-1,IAMUser,AwsApiCall,AccessDenied,NotApplicable,1,1847,789,53892,1,0.021011041470177794,Normal
2020-02,253.54,awslambda-worker,CreateLogStream,logs.amazonaws.com,us-west-2,AssumedRole,AwsApiCall,,NotApplicable,0,1,1630,89128,1,0.004641881056194785,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,us-east-2,IAMUser,AwsApiCall,Client.RequestLimitExceeded,c3.4xlarge,1,10208,17605,5233,1,0.021701013122294333,Normal
2019-09,254.17,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,68,37407,89128,1,0.044981834607440485,Normal
2017-03,6.84,aws-cli,DescribeReservedInstancesOfferings,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,571,163,89128,1,0.06414776649235293,Normal
2019-11,8.103,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,2869,37407,89128,1,0.018184977589420614,Normal
2020-03,172.101,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,122,37407,89128,1,0.043778954087904776,Normal
2019-12,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2017-05,255.253,Boto3,GetPolicyVersion,iam.amazonaws.com,us-east-1,AssumedRole,AwsApiCall,,NotApplicable,0,31011,5817,53892,1,0.007537516732854965,Normal
2017-10,Unknown,support.amazonaws.com,ListStacks,cloudformation.amazonaws.com,us-west-1,Root,AwsApiCall,,NotApplicable,0,28065,212,4967,1,0.04510811881724719,Normal
2020-01,Unknown,ec2.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,us-west-1,IAMUser,AwsApiCall,Client.RequestLimitExceeded,z1d.large,1,10208,17605,4967,1,0.02505402818555713,Normal
2017-09,253.251,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,150,37407,89128,1,0.04254715479196808,Normal
2019-09,87.6,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,31,37407,89128,1,0.044650471464219965,Normal
2017-05,255.253,[Boto3,GetBucketTagging,s3.amazonaws.com,us-west-2,AssumedRole,AwsApiCall,NoSuchTagSet,NotApplicable,1,31011,584,89128,1,0.0015676109156400608,Normal
2017-08,88.241,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,79,37407,89128,1,0.04490379719726334,Normal
2020-03,7.182,aws-cli,GetCallerIdentity,sts.amazonaws.com,us-east-1,IAMUser,AwsApiCall,,NotApplicable,0,1015,3927,53892,-1,-0.012433843787629073,Behavioral Anomaly
2020-01,134.146,Boto3,DescribeRepositories,ecr.amazonaws.com,eu-central-1,IAMUser,AwsApiCall,,NotApplicable,0,4621,159,5063,1,0.05592236731726569,Normal
2018-02,245.181,aws-cli,DescribeSnapshots,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,885,37407,89128,1,0.03006260236061853,Normal
2017-05,255.253,aws-sdk-java,DescribeAutoScalingGroups,autoscaling.amazonaws.com,us-west-1,IAMUser,AwsApiCall,,NotApplicable,0,31011,152,4967,1,0.04235104357222991,Normal
2017-05,255.253,Boto3,ListEntitiesForPolicy,iam.amazonaws.com,us-east-1,AssumedRole,AwsApiCall,,NotApplicable,0,31011,3114,53892,1,0.0023861129335542852,Normal
2019-09,24.251,Boto3,RunInstances,ec2.amazonaws.com,us-west-2,IAMUser,AwsApiCall,Client.RequestLimitExceeded,m5.12xlarge,1,10208,17605,89128,1,0.014895211541265496,Normal
2020-01,Unknown,config.amazonaws.com,AssumeRole,sts.amazonaws.com,us-west-2,AWSService,AwsApiCall,,NotApplicable,0,28065,32561,89128,1,0.03033983463386658,Normal
2017-06,51.125,aws-sdk-go,DescribeDBInstances,rds.amazonaws.com,us-west-2,IAMUser,AwsApiCall,,NotApplicable,0,272,951,89128,1,0.017784168933821065,Normal
2020-01,134.146,aws-cli,DescribeLoadBalancers,elasticloadbalancing.amazonaws.com,us-east-2,IAMUser,AwsApiCall,,NotApplicable,0,4621,1574,5233,1,0.007278987028616957,Normal
2017-05,255.253,[Boto3,GetBucketLogging,s3.amazonaws.com,us-west-2,AssumedRole,AwsApiCall,,NotApplicable,0,31011,789,89128,1,0.017825062672357395,Normal
